crop,patent_number,patent_abstract,patent_date,patent_title,patent_type,patent_year,Applicant,app_number,app_id,appcit_app_number,assignee_state_fips,assignee_county_fips,assignee_country,assignee_longitude,assignee_latitude,assignee_city,assignee_total_num_patents,citedby_patent_number,citedby_patent_title,cpc_category,cpc_subsection_title,cpc_group_title,cpc_group_id,cpc_sequence,cpc_subgroup_id,cpc_subgroup_title,cpc_total_num_assignees,cpc_total_num_patents,examiner_id,lawyer_id,nber_category_id,nber_category_title,nber_subcategory_id,nber_subcategory_title,nber_total_num_assignees,nber_total_num_patents,abstract_title,patent_decade,assignee_organization_namestandard,assignee_key_id,inventor_key_id,crop_shortname,crop_type,crop_type2,patent_type_orig,url,keras_predict,valueuse_ifcpc_A01H6,ifcpc_A01H6_known,.pred_1,.pred_class,group
RICE,200500350,,,,PVP,2006,Louisiana State University Agricultural Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trenasse. LA0202008. RICE,2010,,,,rice,rice,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200500350.pdf,,,,,,19
SEASHORE PASPALUM,200600001,,,,PVP,2008,"Pure-Seed Testing, Inc. & University of Georgia Research Foundation, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sea Spray. Q36313 x Hyb-7. SEASHORE PASPALUM,2010,,,,seashore paspalum,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600001.pdf,,,,,,19
KENTUCKY BLUEGRASS,200600002,,,,PVP,2010,Cascade International Seed Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mongoose. A98-881. KENTUCKY BLUEGRASS,2010,,,,forage,forage,forage,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600002.pdf,,,,,,19
"CORN, FIELD",200600004,,,,PVP,2008,"Pioneer Hi-Bred International, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PH2N1. NA. CORN, FIELD",2010,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600004.pdf,,,,,,19
"WHEAT, COMMON",200600005,,,,PVP,2006,The United States Government as represented by the Secretary of Agriculture and Barenbrug USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waxy-Pen. WA7996; Penawawa-X. WHEAT, COMMON",2010,,,,wheat,wheat,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600005.pdf,,,,,,19
LETTUCE,200600006,,,,PVP,2011,Harris Moran Seed Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farnsworth 71. NA. LETTUCE,2010,,,,lettuce,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600006.pdf,,,,,,19
TRITICALE,200600007,,,,PVP,2006,Texas Agricultural Experiment Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAMcale 5019. TX96V5019. TRITICALE,2010,,,,wheat,wheat,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600007.pdf,,,,,,19
TRITICALE,200600008,,,,PVP,2006,Texas Agricultural Experiment Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAMcale 6331. TX94VT6331. TRITICALE,2010,,,,wheat,wheat,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600008.pdf,,,,,,19
"SNEEZEWEED, ANNUAL",200600009,,,,PVP,2010,Ball Horticultural Company and Texas Agricultural Experimental Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dakota Gold. NA. SNEEZEWEED, ANNUAL",2010,,,,"sneezeweed, annual",specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600009.pdf,,,,,,19
FESCUE,200600011,,,,PVP,2007,"Pure-Seed Testing, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seabreeze GT. PST-4SU. FESCUE,2010,,,,forage,forage,forage,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600011.pdf,,,,,,19
POTATO,200600014,,,,PVP,2010,C. Meijer BV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LADY JO. CMK 1993-063-066. POTATO,2010,,,,potato,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600014.pdf,,,,,,19
SOYBEAN,200600015,,,,PVP,2007,Minnesota Agricultural Experiment Station and University of Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SD1092RR. M96-133022. SOYBEAN,2010,,,,soybean,soy,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600015.pdf,,,,,,19
"CORN, FIELD",200600016,,,,PVP,2008,"Monsanto Technology, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH326. NA. CORN, FIELD",2010,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600016.pdf,,,,,,19
"CORN, FIELD",200600017,,,,PVP,2008,"Monsanto Technology, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH334. NA. CORN, FIELD",2010,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600017.pdf,,,,,,19
"CORN, FIELD",200600018,,,,PVP,2008,"Monsanto Technology, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH390. NA. CORN, FIELD",2010,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600018.pdf,,,,,,19
WATERMELON,200600019,,,,PVP,2009,Syngenta Participations AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90-4262. NA. WATERMELON,2010,,,,melon,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600019.pdf,,,,,,19
TRITICALE,200600020,,,,PVP,2007,"Florida Agricultural Experiment Station and University of Georgia Research Foundation, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342. FL91142-A19. TRITICALE,2010,,,,wheat,wheat,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600020.pdf,,,,,,19
OAT,200600022,,,,PVP,2006,NDSU Research Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STARK. ND960736. OAT,2010,,,,oat,oat,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600022.pdf,,,,,,19
COTTON,200600025,,,,PVP,2006,"Seed Source, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linwood. NA. COTTON,2010,,,,cotton,cotton,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600025.pdf,,,,,,19
"WHEAT, COMMON",200600027,,,,PVP,2006,Syngenta Participations AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HBK 3266. L96*9266-1. WHEAT, COMMON",2010,,,,wheat,wheat,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600027.pdf,,,,,,19
"CORN, FIELD",200600029,,,,PVP,2008,"Monsanto Technology, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH307. NA. CORN, FIELD",2010,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600029.pdf,,,,,,19
"CORN, FIELD",200600030,,,,PVP,2008,"Monsanto Technology, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH333BT1. NA. CORN, FIELD",2010,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600030.pdf,,,,,,19
"CORN, FIELD",200600031,,,,PVP,2008,"Monsanto Technology, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH341. NA. CORN, FIELD",2010,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600031.pdf,,,,,,19
"CORN, FIELD",200600032,,,,PVP,2008,"Monsanto Technology, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH342. NA. CORN, FIELD",2010,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600032.pdf,,,,,,19
"CORN, FIELD",200600033,,,,PVP,2008,"Monsanto Technology, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH362. NA. CORN, FIELD",2010,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600033.pdf,,,,,,19
"CORN, FIELD",200600034,,,,PVP,2008,"Monsanto Technology, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH372. NA. CORN, FIELD",2010,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600034.pdf,,,,,,19
"CORN, FIELD",200600035,,,,PVP,2008,"Monsanto Technology, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH381. NA. CORN, FIELD",2010,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600035.pdf,,,,,,19
"CORN, FIELD",200600036,,,,PVP,2008,"Monsanto Technology, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH391. NA. CORN, FIELD",2010,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600036.pdf,,,,,,19
"CORN, FIELD",200600037,,,,PVP,2008,"Monsanto Technology, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LH400. NA. CORN, FIELD",2010,,,,corn,corn,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600037.pdf,,,,,,19
BENTGRASS,200600038,,,,PVP,2009,"Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kingpin. 9201. BENTGRASS,2010,,,,bentgrass,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600038.pdf,,,,,,19
BARLEY,200600040,,,,PVP,2007,Utah State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquila. UT95B1480-1632. BARLEY,2010,,,,barley,barley,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600040.pdf,,,,,,19
MUSKMELON,200600042,,,,PVP,2009,"Seminis Vegetable Seeds, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSH 39-1046 AN. NA. MUSKMELON,2010,,,,melon,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600042.pdf,,,,,,19
KENTUCKY BLUEGRASS,200600043,,,,PVP,2010,"Pure-Seed Testing, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denali. PST-H6-150. KENTUCKY BLUEGRASS,2010,,,,forage,forage,forage,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600043.pdf,,,,,,19
BENTGRASS,200600044,,,,PVP,2009,"Novel AG, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Authority. 235050. BENTGRASS,2010,,,,bentgrass,specialty,specialty,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600044.pdf,,,,,,19
SOYBEAN,200600045,,,,PVP,2007,Arkansas Agricultural Experiment Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UA 4805. R98-1817. SOYBEAN,2010,,,,soybean,soy,field_grain,PVP,https://apps.ams.usda.gov/CMS//AdobeImages/200600045.pdf,,,,,,19
