crop,patent_number,patent_abstract,patent_date,patent_title,patent_type,patent_year,Applicant,app_number,app_id,appcit_app_number,assignee_state_fips,assignee_county_fips,assignee_country,assignee_longitude,assignee_latitude,assignee_city,assignee_total_num_patents,citedby_patent_number,citedby_patent_title,cpc_category,cpc_subsection_title,cpc_group_title,cpc_group_id,cpc_sequence,cpc_subgroup_id,cpc_subgroup_title,cpc_total_num_assignees,cpc_total_num_patents,examiner_id,lawyer_id,nber_category_id,nber_category_title,nber_subcategory_id,nber_subcategory_title,nber_total_num_assignees,nber_total_num_patents,abstract_title,patent_decade,assignee_organization_namestandard,assignee_key_id,inventor_key_id,crop_shortname,crop_type,crop_type2,patent_type_orig,url,keras_predict,valueuse_ifcpc_A01H6,ifcpc_A01H6_known,.pred_1,.pred_class,group
lemon,PP5402,"A chrysanthemum plant named Eclipse having semi-incurved capitulum form; decorative capitulum type; deep lemon yellow ray floret color; diameter across face of capitulum ranging from 100 to 120 mm. at maturity; uniform nine week photoperiodic flowering response to short days; medium plant height when grown as a pinched, disbud pot mum; and a prolific, spreading branching pattern.",1985-02-05,Chrysanthemum plant named Eclipse,plant,1985,"Yoder Brother, Inc.",06506504,06/506504,NA,39] NA,39153] NA,US] NA,-81.6051] NA,41.0128] NA,Barberton] NA,1000] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iusl1elc9q3jyjtyrk3gsaoff,9cde51bcafcb9a4b4f1f054d05bd1048,NA,NA,NA,NA,NA,NA,"A chrysanthemum plant named Eclipse having semi-incurved capitulum form; decorative capitulum type; deep lemon yellow ray floret color; diameter across face of capitulum ranging from 100 to 120 mm. at maturity; uniform nine week photoperiodic flowering response to short days; medium plant height when grown as a pinched, disbud pot mum; and a prolific, spreading branching pattern.. Chrysanthemum plant named Eclipse",1990,,,,lemon,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP5402,predicted,0,unknown,0.493709713220596,0,87
lemon,PP5402,"A chrysanthemum plant named Eclipse having semi-incurved capitulum form; decorative capitulum type; deep lemon yellow ray floret color; diameter across face of capitulum ranging from 100 to 120 mm. at maturity; uniform nine week photoperiodic flowering response to short days; medium plant height when grown as a pinched, disbud pot mum; and a prolific, spreading branching pattern.",1985-02-05,Chrysanthemum plant named Eclipse,plant,1985,"Yoder Brother, Inc.",06506504,06/506504,NA,39] NA,39153] NA,US] NA,-81.6051] NA,41.0128] NA,Barberton] NA,1000] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iusl1elc9q3jyjtyrk3gsaoff,9cde51bcafcb9a4b4f1f054d05bd1048,NA,NA,NA,NA,NA,NA,"A chrysanthemum plant named Eclipse having semi-incurved capitulum form; decorative capitulum type; deep lemon yellow ray floret color; diameter across face of capitulum ranging from 100 to 120 mm. at maturity; uniform nine week photoperiodic flowering response to short days; medium plant height when grown as a pinched, disbud pot mum; and a prolific, spreading branching pattern.. Chrysanthemum plant named Eclipse",1990,,,,lemon,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP5402,predicted,0,unknown,0.493709713220596,0,87
lemon,PP5402,"A chrysanthemum plant named Eclipse having semi-incurved capitulum form; decorative capitulum type; deep lemon yellow ray floret color; diameter across face of capitulum ranging from 100 to 120 mm. at maturity; uniform nine week photoperiodic flowering response to short days; medium plant height when grown as a pinched, disbud pot mum; and a prolific, spreading branching pattern.",1985-02-05,Chrysanthemum plant named Eclipse,plant,1985,"Yoder Brothers, Inc.",06506504,,,39,39153,US,-81.6065,41.009,Barberton,998,NA,NA,,,,,,,,,,iusl1elc9q3jyjtyrk3gsaoff,9cde51bcafcb9a4b4f1f054d05bd1048,,,,,,,"A chrysanthemum plant named Eclipse having semi-incurved capitulum form; decorative capitulum type; deep lemon yellow ray floret color; diameter across face of capitulum ranging from 100 to 120 mm. at maturity; uniform nine week photoperiodic flowering response to short days; medium plant height when grown as a pinched, disbud pot mum; and a prolific, spreading branching pattern.. Chrysanthemum plant named Eclipse",1990,"Yoder Brothers, Inc.",9242,56632,lemon,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP5402,predicted,0,unknown,0.493709713220596,0,87
lemon,PP5402,"A chrysanthemum plant named Eclipse having semi-incurved capitulum form; decorative capitulum type; deep lemon yellow ray floret color; diameter across face of capitulum ranging from 100 to 120 mm. at maturity; uniform nine week photoperiodic flowering response to short days; medium plant height when grown as a pinched, disbud pot mum; and a prolific, spreading branching pattern.",1985-02-05,Chrysanthemum plant named Eclipse,plant,1985,"Yoder Brothers, Inc.",06506504,,,39,39153,US,-81.6065,41.009,Barberton,998,NA,NA,,,,,,,,,,iusl1elc9q3jyjtyrk3gsaoff,9cde51bcafcb9a4b4f1f054d05bd1048,,,,,,,"A chrysanthemum plant named Eclipse having semi-incurved capitulum form; decorative capitulum type; deep lemon yellow ray floret color; diameter across face of capitulum ranging from 100 to 120 mm. at maturity; uniform nine week photoperiodic flowering response to short days; medium plant height when grown as a pinched, disbud pot mum; and a prolific, spreading branching pattern.. Chrysanthemum plant named Eclipse",1990,"Yoder Brothers, Inc.",9242,56632,lemon,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP5402,predicted,0,unknown,0.493709713220596,0,87
raspberry,PP5404,"A red raspberry plant which has a high yield of large, well displayed fruit.",1985-02-12,"Red raspberry, N.Y. 883",plant,1985,CORNELL RESEARCH FOUNDATION INC.,06418964,,,36,36109,US,-76.5005,42.4428,Ithaca,1565,"PP11746, PP12173","Red raspberry plant named `Encore`, Raspberry plant named `Josephine`",,,,,,,,,,jf6ctzrt6fx6e5dmc2hd1oorn,NA,,,,,,,"A red raspberry plant which has a high yield of large, well displayed fruit.. Red raspberry, N.Y. 883",1990,CORNELL RESEARCH FOUNDATION INC.,2244,"58632, 457612",raspberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP5404,predicted,0,unknown,0.495204627513886,0,87
raspberry,PP5404,"A red raspberry plant which has a high yield of large, well displayed fruit.",1985-02-12,"Red raspberry, N.Y. 883",plant,1985,CORNELL RESEARCH FOUNDATION INC.,06418964,,,36,36109,US,-76.5005,42.4428,Ithaca,1565,"PP11746, PP12173","Red raspberry plant named `Encore`, Raspberry plant named `Josephine`",,,,,,,,,,jf6ctzrt6fx6e5dmc2hd1oorn,NA,,,,,,,"A red raspberry plant which has a high yield of large, well displayed fruit.. Red raspberry, N.Y. 883",1990,CORNELL RESEARCH FOUNDATION INC.,2244,"58632, 457612",raspberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP5404,predicted,0,unknown,0.495204627513886,0,87
raspberry,PP5404,"A red raspberry plant which has a high yield of large, well displayed fruit.",1985-02-12,"Red raspberry, N.Y. 883",plant,1985,"CORNELL RESEARCH FOUNDATION, INC.",06418964,06/418964,NA,36] NA,36109] NA,US] NA,-76.4968] NA,42.4396] NA,Ithaca] NA,1567] NA,PP11746] PP12173] NA,Red raspberry plant named `Encore`] Raspberry plant named `Josephine`] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jf6ctzrt6fx6e5dmc2hd1oorn,NA,NA,NA,NA,NA,NA,NA,"A red raspberry plant which has a high yield of large, well displayed fruit.. Red raspberry, N.Y. 883",1990,,,,raspberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP5404,predicted,0,unknown,0.495204627513886,0,87
raspberry,PP5404,"A red raspberry plant which has a high yield of large, well displayed fruit.",1985-02-12,"Red raspberry, N.Y. 883",plant,1985,"CORNELL RESEARCH FOUNDATION, INC.",06418964,06/418964,NA,36] NA,36109] NA,US] NA,-76.4968] NA,42.4396] NA,Ithaca] NA,1567] NA,PP11746] PP12173] NA,Red raspberry plant named `Encore`] Raspberry plant named `Josephine`] NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jf6ctzrt6fx6e5dmc2hd1oorn,NA,NA,NA,NA,NA,NA,NA,"A red raspberry plant which has a high yield of large, well displayed fruit.. Red raspberry, N.Y. 883",1990,,,,raspberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP5404,predicted,0,unknown,0.495204627513886,0,87
raspberry,PP5405,"A purple raspberry plant having good resistance to aphids and fruitworms, bearing large fruit of good quality.",1985-02-12,"Purple raspberry, N.Y. 632",plant,1985,CORNELL RESEARCH FOUNDATION INC.,06418965,,,36,36109,US,-76.5005,42.4428,Ithaca,1565,NA,NA,,,,,,,,,,o7ox576lhxowj5017auduk3m5,NA,,,,,,,"A purple raspberry plant having good resistance to aphids and fruitworms, bearing large fruit of good quality.. Purple raspberry, N.Y. 632",1990,CORNELL RESEARCH FOUNDATION INC.,2244,"58632, 457612, 3193608",raspberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP5405,predicted,0,unknown,0.496735095977783,0,87
raspberry,PP5405,"A purple raspberry plant having good resistance to aphids and fruitworms, bearing large fruit of good quality.",1985-02-12,"Purple raspberry, N.Y. 632",plant,1985,CORNELL RESEARCH FOUNDATION INC.,06418965,,,36,36109,US,-76.5005,42.4428,Ithaca,1565,NA,NA,,,,,,,,,,o7ox576lhxowj5017auduk3m5,NA,,,,,,,"A purple raspberry plant having good resistance to aphids and fruitworms, bearing large fruit of good quality.. Purple raspberry, N.Y. 632",1990,CORNELL RESEARCH FOUNDATION INC.,2244,"58632, 457612, 3193608",raspberry,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/PP5405,predicted,0,unknown,0.496735095977783,0,87
